jugador,nacionalidad,posicion,sub_posición,partidos_jugados,partidos_titular,minutos_disputados,partidos_completos
Aitor Paredes,es ESP,Defensas,Defensa_central,17,16,1450,"16,1"
Daniel Parejo,es ESP,Mediocampistas,Medio_centro_defensivo,24,12,1051,"11,7"
Alfonso Pedraza,es ESP,Defensas,Lateral_izquierdo,22,14,1305,"14,5"
Pedri,es ESP,Mediocampistas,Medio_centro_defensivo,21,16,1451,"16,1"
Iñaki Peña,es ESP,Porteros,Portero,16,16,1440,16
Yeremi Pino,es ESP,Mediocampistas,Extremo_derecho,27,21,1721,"19,1"
Pedro Porro,es ESP,Defensas,Lateral_derecho,27,25,2166,"24,1"
Antonio Raillo,es ESP,Defensas,Defensa_central,23,23,2032,"22,6"
Jacobo Ramón,es ESP,Defensas,Defensa_central,26,25,2247,25
David Raya,es ESP,Porteros,Portero,31,31,2790,31
Alberto Reina,es ESP,Mediocampistas,Medio_centro_ofensivo,28,22,1707,19
Álex Remiro,es ESP,Porteros,Portero,29,29,2610,29
Oriol Rey,es ESP,Mediocampistas,Medio_centro_defensivo,17,12,1126,"12,5"
Diego Rico,es ESP,Defensas,Defensa_central,25,18,1693,"18,8"
Hugo Rincón,es ESP,Defensas,Lateral_derecho,26,16,1624,18
Luis Rioja,es ESP,Mediocampistas,Extremo_derecho,28,23,1953,"21,7"
Marc Roca,es ESP,Mediocampistas,Medio_centro_defensivo,23,20,1671,"18,6"
Rodri,es ESP,Mediocampistas,Medio_centro_defensivo,18,14,1244,"13,8"
Javi Rodríguez,es ESP,Defensas,Defensa_central,25,20,1883,"20,9"
Jesus Rodríguez,es ESP,Mediocampistas,Extremo_izquierdo,26,16,1543,"17,1"
Leo Román,es ESP,Porteros,Portero,24,24,2160,24
Miguel Román,es ESP,Mediocampistas,Medio_centro_defensivo,19,14,1311,"14,6"
Carlos Romero,es ESP,Defensas,Lateral_izquierdo,27,27,2397,"26,6"
Isaac Romero,es ESP,Delanteros,Delantero_centro,21,12,1073,"11,9"
Iván Romero,es ESP,Delanteros,Delantero_centro,25,23,1831,"20,3"
Aitor Ruibal,es ESP,Mediocampistas,Extremo_derecho,23,17,1510,"16,8"
Kike Salas,es ESP,Defensas,Defensa_central,17,15,1393,"15,5"
Oihan Sancet,es ESP,Mediocampistas,Medio_centro_ofensivo,22,19,1490,"16,6"
Juanlu Sánchez,es ESP,Defensas,Lateral_derecho,24,20,1644,"18,3"
Manu Sánchez,es ESP,Defensas,Lateral_izquierdo,25,24,2173,"24,1"
Robert Sánchez,es ESP,Porteros,Portero,29,29,2524,28
Unai Simón,es ESP,Porteros,Portero,29,29,2610,29
Antonio Sivera,es ESP,Porteros,Portero,29,29,2610,29
Carlos Soler,es ESP,Mediocampistas,Medio_centro_ofensivo,24,18,1604,"17,8"
David Soria,es ESP,Porteros,Portero,29,29,2610,29
Hugo Sotelo,es ESP,Mediocampistas,Medio_centro_defensivo,16,13,1088,"12,1"
César Tárrega,es ESP,Defensas,Defensa_central,23,20,1788,"19,9"
Ferrán Torres,es ESP,Delanteros,Delantero_centro,26,19,1559,"17,3"
Pau Torres,es ESP,Defensas,Defensa_central,17,15,1388,"15,4"
Lucas Torró,es ESP,Mediocampistas,Medio_centro_defensivo,26,25,1838,"20,4"
Óscar Valentín,es ESP,Mediocampistas,Medio_centro_defensivo,25,19,1623,18
Germán Valera,es ESP,Mediocampistas,Extremo_izquierdo,28,26,2218,"24,6"
Álex Valle,es ESP,Defensas,Lateral_izquierdo,23,18,1653,"18,4"
Álvaro Vallés,es ESP,Porteros,Portero,20,20,1800,20
José Luis García Vayá,es ESP,Mediocampistas,Medio_centro_defensivo,23,20,1703,"18,9"
Nacho Vidal,es ESP,Defensas,Lateral_derecho,20,19,1579,"17,5"
Jan Virgili,es ESP,Mediocampistas,Extremo_izquierdo,22,17,1445,"16,1"
Daniel Vivian,es ESP,Defensas,Defensa_central,24,23,2098,"23,3"
Nico Williams,es ESP,Mediocampistas,Extremo_izquierdo,19,15,1308,"14,5"
Lamine Yamal,es ESP,Mediocampistas,Extremo_derecho,25,23,2038,"22,6"
Bryan Zaragoza,es ESP,Delanteros,Delantero_centro,19,13,1131,"12,6"
Igor Zubeldia,es ESP,Defensas,Defensa_central,22,21,1898,"21,1"
Martín Zubimendi,es ESP,Mediocampistas,Medio_centro_defensivo,31,30,2596,"28,8"
